City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Kupang,-10.1667,123.5833,88.38,62,40,6.91,scattered clouds
283,Kaeo,-35.1,173.7833,58.32,77,98,12.62,overcast clouds
284,Preobrazheniye,42.9019,133.9064,53.94,90,47,5.03,scattered clouds
285,Butaritari,3.0707,172.7902,82.31,80,100,13.15,moderate rain
286,Katsuura,35.1333,140.3,76.23,77,95,19.08,overcast clouds
287,Nioro,13.35,-15.75,74.95,47,43,5.41,scattered clouds
288,Tucumcari,35.1717,-103.725,69.94,62,1,21.61,clear sky
289,Denpasar,-8.65,115.2167,85.66,72,20,9.71,few clouds
290,Porto Novo,6.4965,2.6036,84.02,65,83,6.4,broken clouds
291,Horasan,40.0458,42.1728,69.08,47,9,3.87,clear sky
292,Tivaouane,14.9515,-16.8129,68.34,83,2,11.9,clear sky
293,San Isidro,-12.1167,-77.05,62.26,94,75,1.01,broken clouds
294,Te Anau,-45.4167,167.7167,37.22,94,12,2.44,few clouds
295,Leh,34.1667,77.5833,48.36,44,4,6.62,clear sky
296,Arosa,46.7779,9.6762,45.28,89,100,4.5,overcast clouds
297,Camacha,33.0833,-16.3333,61.56,59,40,11.5,scattered clouds
298,Baykit,61.67,96.37,49.53,97,100,2.46,overcast clouds
299,Sungaipenuh,-2.0833,101.3833,72.23,92,94,2.77,overcast clouds
300,Kibaya,-5.3,36.5667,67.1,55,15,7.45,few clouds
301,Salalah,17.0151,54.0924,89.69,58,20,13.8,few clouds
302,Port Blair,11.6667,92.75,84.7,82,97,24.07,very heavy rain
303,Ola,59.5833,151.2833,40.71,76,26,7.11,scattered clouds
304,Uaua,-9.8414,-39.4817,63.27,90,95,8.03,overcast clouds
305,Haines Junction,60.7522,-137.5108,40.95,81,100,5.75,moderate rain
306,Cherepovets,59.1333,37.9,51.62,89,75,15.97,broken clouds
307,Saint Anthony,45.0205,-93.218,68.49,94,90,1.01,overcast clouds
308,Dicabisagan,17.0818,122.4157,86.68,67,20,7.9,few clouds
309,Komsomolskiy,40.4272,71.7189,79.52,29,100,6.91,heavy intensity rain
310,Fort Nelson,58.8053,-122.7002,51.39,54,75,2.3,broken clouds
311,San Angelo,31.4638,-100.437,70.65,82,20,7.0,few clouds
312,Abha,18.2164,42.5053,80.42,24,0,6.4,clear sky
313,Acacias,3.987,-73.758,69.6,88,100,4.23,overcast clouds
314,Guanica,17.9716,-66.908,77.92,84,1,6.33,clear sky
315,Birjand,32.8663,59.2211,88.27,8,75,9.22,broken clouds
316,Pangkalanbuun,-2.6833,111.6167,84.72,78,88,4.7,overcast clouds
